Group,NS,Type,Attribute
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",AlertError,reason
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",AlertQuery,clientSpec
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",AlertQuery,filterSpec
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",AlertQuery,types
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",AlertQuery,severities
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",AlertQuery,triggerTimeSpec
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",AlertQuery,triggerTime
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",AlertQuery,clientCustomerIds
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",Detail,triggerTime
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",Alert,alertSeverity
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",Alert,alertType
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",Alert,clientCustomerId
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",Alert,details
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",AlertPage,entries
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",Account,customerId
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",Account,login
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",Account,companyName
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",Account,canManageClients
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",Account,currencyCode
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",Account,dateTimeZone
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",CustomerId,id
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",Link,managerId
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",Link,clientId
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",Link,typeOfLink
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",Link,descriptiveName
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",Link,Link_Type
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",ServicedAccountGraph,accounts
mcm,"https://adwords.google.com/api/adwords/mcm/v201109",ServicedAccountGraph,links
info,"https://adwords.google.com/api/adwords/info/v201101",ApiUsageError,reason
info,"https://adwords.google.com/api/adwords/info/v201101",ApiUsageRecord,clientEmail
info,"https://adwords.google.com/api/adwords/info/v201101",ApiUsageRecord,cost
info,"https://adwords.google.com/api/adwords/info/v201101",ApiUsageInfo,apiUsageRecords
info,"https://adwords.google.com/api/adwords/info/v201101",ApiUsageInfo,cost
info,"https://adwords.google.com/api/adwords/info/v200909",ApiUsageError,reason
info,"https://adwords.google.com/api/adwords/info/v200909",ApiUsageRecord,clientEmail
info,"https://adwords.google.com/api/adwords/info/v200909",ApiUsageRecord,cost
info,"https://adwords.google.com/api/adwords/info/v200909",ApiUsageInfo,apiUsageRecords
info,"https://adwords.google.com/api/adwords/info/v200909",ApiUsageInfo,cost
ch,"https://adwords.google.com/api/adwords/ch/v201109",AdGroupChangeData,adGroupId
ch,"https://adwords.google.com/api/adwords/ch/v201109",AdGroupChangeData,adGroupChangeStatus
ch,"https://adwords.google.com/api/adwords/ch/v201109",AdGroupChangeData,changedAds
ch,"https://adwords.google.com/api/adwords/ch/v201109",AdGroupChangeData,changedCriteria
ch,"https://adwords.google.com/api/adwords/ch/v201109",AdGroupChangeData,deletedCriteria
ch,"https://adwords.google.com/api/adwords/ch/v201109",CampaignChangeData,campaignId
ch,"https://adwords.google.com/api/adwords/ch/v201109",CampaignChangeData,campaignChangeStatus
ch,"https://adwords.google.com/api/adwords/ch/v201109",CampaignChangeData,changedAdGroups
ch,"https://adwords.google.com/api/adwords/ch/v201109",CampaignChangeData,addedCampaignCriteria
ch,"https://adwords.google.com/api/adwords/ch/v201109",CampaignChangeData,deletedCampaignCriteria
ch,"https://adwords.google.com/api/adwords/ch/v201109",CampaignChangeData,addedAdExtensions
ch,"https://adwords.google.com/api/adwords/ch/v201109",CampaignChangeData,deletedAdExtensions
ch,"https://adwords.google.com/api/adwords/ch/v201109",CampaignChangeData,campaignTargetingChanged
ch,"https://adwords.google.com/api/adwords/ch/v201109",CustomerChangeData,changedCampaigns
ch,"https://adwords.google.com/api/adwords/ch/v201109",CustomerChangeData,lastChangeTimestamp
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdExtensionOverrideError,reason
cm,"https://adwords.google.com/api/adwords/cm/v201101",Address,streetAddress
cm,"https://adwords.google.com/api/adwords/cm/v201101",Address,streetAddress2
cm,"https://adwords.google.com/api/adwords/cm/v201101",Address,cityName
cm,"https://adwords.google.com/api/adwords/cm/v201101",Address,provinceCode
cm,"https://adwords.google.com/api/adwords/cm/v201101",Address,provinceName
cm,"https://adwords.google.com/api/adwords/cm/v201101",Address,postalCode
cm,"https://adwords.google.com/api/adwords/cm/v201101",Address,countryCode
cm,"https://adwords.google.com/api/adwords/cm/v201101",DoubleValue,number
cm,"https://adwords.google.com/api/adwords/cm/v201101",EntityNotFound,reason
cm,"https://adwords.google.com/api/adwords/cm/v201101",GeoPoint,latitudeInMicroDegrees
cm,"https://adwords.google.com/api/adwords/cm/v201101",GeoPoint,longitudeInMicroDegrees
cm,"https://adwords.google.com/api/adwords/cm/v201101",LocationExtension,address
cm,"https://adwords.google.com/api/adwords/cm/v201101",LocationExtension,geoPoint
cm,"https://adwords.google.com/api/adwords/cm/v201101",LocationExtension,encodedLocation
cm,"https://adwords.google.com/api/adwords/cm/v201101",LocationExtension,companyName
cm,"https://adwords.google.com/api/adwords/cm/v201101",LocationExtension,phoneNumber
cm,"https://adwords.google.com/api/adwords/cm/v201101",LocationExtension,source
cm,"https://adwords.google.com/api/adwords/cm/v201101",LocationExtension,iconMediaId
cm,"https://adwords.google.com/api/adwords/cm/v201101",LocationExtension,imageMediaId
cm,"https://adwords.google.com/api/adwords/cm/v201101",LocationOverrideInfo,radius
cm,"https://adwords.google.com/api/adwords/cm/v201101",LocationOverrideInfo,radiusUnits
cm,"https://adwords.google.com/api/adwords/cm/v201101",LongValue,number
cm,"https://adwords.google.com/api/adwords/cm/v201101",MobileExtension,phoneNumber
cm,"https://adwords.google.com/api/adwords/cm/v201101",MobileExtension,countryCode
cm,"https://adwords.google.com/api/adwords/cm/v201101",MobileExtension,isCallOnly
cm,"https://adwords.google.com/api/adwords/cm/v201101",OverrideInfo,LocationOverrideInfo
cm,"https://adwords.google.com/api/adwords/cm/v201101",Paging,startIndex
cm,"https://adwords.google.com/api/adwords/cm/v201101",Paging,numberResults
cm,"https://adwords.google.com/api/adwords/cm/v201101",ProductConditionOperand,operand
cm,"https://adwords.google.com/api/adwords/cm/v201101",Sitelink,displayText
cm,"https://adwords.google.com/api/adwords/cm/v201101",Sitelink,destinationUrl
cm,"https://adwords.google.com/api/adwords/cm/v201101",SitelinksExtension,sitelinks
cm,"https://adwords.google.com/api/adwords/cm/v201101",Money,microAmount
cm,"https://adwords.google.com/api/adwords/cm/v201101",ProductCondition,argument
cm,"https://adwords.google.com/api/adwords/cm/v201101",ProductCondition,operand
cm,"https://adwords.google.com/api/adwords/cm/v201101",ProductConditionAndGroup,conditions
cm,"https://adwords.google.com/api/adwords/cm/v201101",ProductExtension,googleBaseCustomerId
cm,"https://adwords.google.com/api/adwords/cm/v201101",ProductExtension,advertiserName
cm,"https://adwords.google.com/api/adwords/cm/v201101",ProductExtension,productSelection
cm,"https://adwords.google.com/api/adwords/cm/v201101",ComparableValue,ComparableValue_Type
cm,"https://adwords.google.com/api/adwords/cm/v201101",LocationSyncExtension,email
cm,"https://adwords.google.com/api/adwords/cm/v201101",LocationSyncExtension,authToken
cm,"https://adwords.google.com/api/adwords/cm/v201101",LocationSyncExtension,iconMediaId
cm,"https://adwords.google.com/api/adwords/cm/v201101",LocationSyncExtension,shouldSyncUrl
cm,"https://adwords.google.com/api/adwords/cm/v201101",Stats,startDate
cm,"https://adwords.google.com/api/adwords/cm/v201101",Stats,endDate
cm,"https://adwords.google.com/api/adwords/cm/v201101",Stats,network
cm,"https://adwords.google.com/api/adwords/cm/v201101",Stats,clicks
cm,"https://adwords.google.com/api/adwords/cm/v201101",Stats,impressions
cm,"https://adwords.google.com/api/adwords/cm/v201101",Stats,cost
cm,"https://adwords.google.com/api/adwords/cm/v201101",Stats,averagePosition
cm,"https://adwords.google.com/api/adwords/cm/v201101",Stats,averageCpc
cm,"https://adwords.google.com/api/adwords/cm/v201101",Stats,averageCpm
cm,"https://adwords.google.com/api/adwords/cm/v201101",Stats,ctr
cm,"https://adwords.google.com/api/adwords/cm/v201101",Stats,conversions
cm,"https://adwords.google.com/api/adwords/cm/v201101",Stats,conversionRate
cm,"https://adwords.google.com/api/adwords/cm/v201101",Stats,costPerConversion
cm,"https://adwords.google.com/api/adwords/cm/v201101",Stats,conversionsManyPerClick
cm,"https://adwords.google.com/api/adwords/cm/v201101",Stats,conversionRateManyPerClick
cm,"https://adwords.google.com/api/adwords/cm/v201101",Stats,costPerConversionManyPerClick
cm,"https://adwords.google.com/api/adwords/cm/v201101",Stats,viewThroughConversions
cm,"https://adwords.google.com/api/adwords/cm/v201101",Stats,totalConvValue
cm,"https://adwords.google.com/api/adwords/cm/v201101",Stats,valuePerConv
cm,"https://adwords.google.com/api/adwords/cm/v201101",Stats,valuePerConvManyPerClick
cm,"https://adwords.google.com/api/adwords/cm/v201101",Stats,invalidClicks
cm,"https://adwords.google.com/api/adwords/cm/v201101",Stats,invalidClickRate
cm,"https://adwords.google.com/api/adwords/cm/v201101",Stats,Stats_Type
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdExtension,id
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdExtension,AdExtension_Type
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdExtensionOverride,adId
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdExtensionOverride,adExtension
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdExtensionOverride,overrideInfo
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdExtensionOverride,status
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdExtensionOverride,approvalStatus
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdExtensionOverride,stats
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdExtensionOverridePage,entries
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdExtensionOverrideReturnValue,value
cm,"https://adwords.google.com/api/adwords/cm/v201101",ListReturnValue,ListReturnValue_Type
cm,"https://adwords.google.com/api/adwords/cm/v201101",Page,totalNumEntries
cm,"https://adwords.google.com/api/adwords/cm/v201101",Page,Page_Type
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdStats,percentServed
cm,"https://adwords.google.com/api/adwords/cm/v201101",Audio,durationMillis
cm,"https://adwords.google.com/api/adwords/cm/v201101",Audio,streamingUrl
cm,"https://adwords.google.com/api/adwords/cm/v201101",Audio,readyToPlayOnTheWeb
cm,"https://adwords.google.com/api/adwords/cm/v201101",DateRange,min
cm,"https://adwords.google.com/api/adwords/cm/v201101",DateRange,max
cm,"https://adwords.google.com/api/adwords/cm/v201101",DeprecatedAd,name
cm,"https://adwords.google.com/api/adwords/cm/v201101",DeprecatedAd,type
cm,"https://adwords.google.com/api/adwords/cm/v201101",Dimensions,width
cm,"https://adwords.google.com/api/adwords/cm/v201101",Dimensions,height
cm,"https://adwords.google.com/api/adwords/cm/v201101",EntityCountLimitExceeded,reason
cm,"https://adwords.google.com/api/adwords/cm/v201101",EntityCountLimitExceeded,enclosingId
cm,"https://adwords.google.com/api/adwords/cm/v201101",EntityCountLimitExceeded,limit
cm,"https://adwords.google.com/api/adwords/cm/v201101",Image,data
cm,"https://adwords.google.com/api/adwords/cm/v201101",Media_Size_DimensionsMapEntry,key
cm,"https://adwords.google.com/api/adwords/cm/v201101",Media_Size_DimensionsMapEntry,value
cm,"https://adwords.google.com/api/adwords/cm/v201101",Media_Size_StringMapEntry,key
cm,"https://adwords.google.com/api/adwords/cm/v201101",Media_Size_StringMapEntry,value
cm,"https://adwords.google.com/api/adwords/cm/v201101",MobileAd,headline
cm,"https://adwords.google.com/api/adwords/cm/v201101",MobileAd,description
cm,"https://adwords.google.com/api/adwords/cm/v201101",MobileAd,markupLanguages
cm,"https://adwords.google.com/api/adwords/cm/v201101",MobileAd,mobileCarriers
cm,"https://adwords.google.com/api/adwords/cm/v201101",MobileAd,businessName
cm,"https://adwords.google.com/api/adwords/cm/v201101",MobileAd,countryCode
cm,"https://adwords.google.com/api/adwords/cm/v201101",MobileAd,phoneNumber
cm,"https://adwords.google.com/api/adwords/cm/v201101",OrderBy,field
cm,"https://adwords.google.com/api/adwords/cm/v201101",OrderBy,sortOrder
cm,"https://adwords.google.com/api/adwords/cm/v201101",PolicyViolationKey,policyName
cm,"https://adwords.google.com/api/adwords/cm/v201101",PolicyViolationKey,violatingText
cm,"https://adwords.google.com/api/adwords/cm/v201101",Predicate,field
cm,"https://adwords.google.com/api/adwords/cm/v201101",Predicate,operator
cm,"https://adwords.google.com/api/adwords/cm/v201101",Predicate,values
cm,"https://adwords.google.com/api/adwords/cm/v201101",ProductAd,promotionLine
cm,"https://adwords.google.com/api/adwords/cm/v201101",TextAd,headline
cm,"https://adwords.google.com/api/adwords/cm/v201101",TextAd,description1
cm,"https://adwords.google.com/api/adwords/cm/v201101",TextAd,description2
cm,"https://adwords.google.com/api/adwords/cm/v201101",ThirdPartyRedirectAd,isCookieTargeted
cm,"https://adwords.google.com/api/adwords/cm/v201101",ThirdPartyRedirectAd,isUserInterestTargeted
cm,"https://adwords.google.com/api/adwords/cm/v201101",ThirdPartyRedirectAd,isTagged
cm,"https://adwords.google.com/api/adwords/cm/v201101",ThirdPartyRedirectAd,videoTypes
cm,"https://adwords.google.com/api/adwords/cm/v201101",Video,durationMillis
cm,"https://adwords.google.com/api/adwords/cm/v201101",Video,streamingUrl
cm,"https://adwords.google.com/api/adwords/cm/v201101",Video,readyToPlayOnTheWeb
cm,"https://adwords.google.com/api/adwords/cm/v201101",Video,industryStandardCommercialIdentifier
cm,"https://adwords.google.com/api/adwords/cm/v201101",Video,advertisingId
cm,"https://adwords.google.com/api/adwords/cm/v201101",Video,youTubeVideoIdString
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroupAdExperimentData,experimentId
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroupAdExperimentData,experimentDeltaStatus
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroupAdExperimentData,experimentDataStatus
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdUnionId,id
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdUnionId,AdUnionId_Type
cm,"https://adwords.google.com/api/adwords/cm/v201101",ExemptionRequest,key
cm,"https://adwords.google.com/api/adwords/cm/v201101",RichMediaAd,name
cm,"https://adwords.google.com/api/adwords/cm/v201101",RichMediaAd,dimensions
cm,"https://adwords.google.com/api/adwords/cm/v201101",RichMediaAd,snippet
cm,"https://adwords.google.com/api/adwords/cm/v201101",RichMediaAd,impressionBeaconUrl
cm,"https://adwords.google.com/api/adwords/cm/v201101",RichMediaAd,certifiedVendorFormatId
cm,"https://adwords.google.com/api/adwords/cm/v201101",Media,mediaId
cm,"https://adwords.google.com/api/adwords/cm/v201101",Media,type
cm,"https://adwords.google.com/api/adwords/cm/v201101",Media,referenceId
cm,"https://adwords.google.com/api/adwords/cm/v201101",Media,dimensions
cm,"https://adwords.google.com/api/adwords/cm/v201101",Media,urls
cm,"https://adwords.google.com/api/adwords/cm/v201101",Media,mimeType
cm,"https://adwords.google.com/api/adwords/cm/v201101",Media,sourceUrl
cm,"https://adwords.google.com/api/adwords/cm/v201101",Media,name
cm,"https://adwords.google.com/api/adwords/cm/v201101",Media,fileSize
cm,"https://adwords.google.com/api/adwords/cm/v201101",Media,creationTime
cm,"https://adwords.google.com/api/adwords/cm/v201101",Media,Media_Type
cm,"https://adwords.google.com/api/adwords/cm/v201101",MobileImageAd,markupLanguages
cm,"https://adwords.google.com/api/adwords/cm/v201101",MobileImageAd,mobileCarriers
cm,"https://adwords.google.com/api/adwords/cm/v201101",MobileImageAd,image
cm,"https://adwords.google.com/api/adwords/cm/v201101",TemplateElementField,name
cm,"https://adwords.google.com/api/adwords/cm/v201101",TemplateElementField,type
cm,"https://adwords.google.com/api/adwords/cm/v201101",TemplateElementField,fieldText
cm,"https://adwords.google.com/api/adwords/cm/v201101",TemplateElementField,fieldMedia
cm,"https://adwords.google.com/api/adwords/cm/v201101",ImageAd,image
cm,"https://adwords.google.com/api/adwords/cm/v201101",ImageAd,name
cm,"https://adwords.google.com/api/adwords/cm/v201101",ImageAd,adToCopyImageFrom
cm,"https://adwords.google.com/api/adwords/cm/v201101",TemplateElement,uniqueName
cm,"https://adwords.google.com/api/adwords/cm/v201101",TemplateElement,fields
cm,"https://adwords.google.com/api/adwords/cm/v201101",TemplateAd,templateId
cm,"https://adwords.google.com/api/adwords/cm/v201101",TemplateAd,adUnionId
cm,"https://adwords.google.com/api/adwords/cm/v201101",TemplateAd,templateElements
cm,"https://adwords.google.com/api/adwords/cm/v201101",TemplateAd,dimensions
cm,"https://adwords.google.com/api/adwords/cm/v201101",TemplateAd,name
cm,"https://adwords.google.com/api/adwords/cm/v201101",TemplateAd,duration
cm,"https://adwords.google.com/api/adwords/cm/v201101",Ad,id
cm,"https://adwords.google.com/api/adwords/cm/v201101",Ad,url
cm,"https://adwords.google.com/api/adwords/cm/v201101",Ad,displayUrl
cm,"https://adwords.google.com/api/adwords/cm/v201101",Ad,approvalStatus
cm,"https://adwords.google.com/api/adwords/cm/v201101",Ad,disapprovalReasons
cm,"https://adwords.google.com/api/adwords/cm/v201101",Ad,trademarkDisapproved
cm,"https://adwords.google.com/api/adwords/cm/v201101",Ad,Ad_Type
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroupAd,adGroupId
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroupAd,ad
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroupAd,experimentData
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroupAd,status
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroupAd,stats
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroupAdPage,entries
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroupAdReturnValue,value
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroupCriterion,adGroupId
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroupCriterion,criterionUse
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroupCriterion,criterion
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroupCriterion,AdGroupCriterion_Type
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroupCriterionBids,AdGroupCriterionBids_Type
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroupCriterionExperimentBidMultiplier,AdGroupCriterionExperimentBidMultiplier_Type
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroupCriterionLimitExceeded,limitType
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroupCriterionPage,entries
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroupCriterionReturnValue,value
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroupCriterionReturnValue,partialFailureErrors
cm,"https://adwords.google.com/api/adwords/cm/v201101",Bid,amount
cm,"https://adwords.google.com/api/adwords/cm/v201101",BidMultiplier,multiplier
cm,"https://adwords.google.com/api/adwords/cm/v201101",BidMultiplier,multipliedBid
cm,"https://adwords.google.com/api/adwords/cm/v201101",BiddableAdGroupCriterion,userStatus
cm,"https://adwords.google.com/api/adwords/cm/v201101",BiddableAdGroupCriterion,systemServingStatus
cm,"https://adwords.google.com/api/adwords/cm/v201101",BiddableAdGroupCriterion,approvalStatus
cm,"https://adwords.google.com/api/adwords/cm/v201101",BiddableAdGroupCriterion,destinationUrl
cm,"https://adwords.google.com/api/adwords/cm/v201101",BiddableAdGroupCriterion,bids
cm,"https://adwords.google.com/api/adwords/cm/v201101",BiddableAdGroupCriterion,experimentData
cm,"https://adwords.google.com/api/adwords/cm/v201101",BiddableAdGroupCriterion,firstPageCpc
cm,"https://adwords.google.com/api/adwords/cm/v201101",BiddableAdGroupCriterion,qualityInfo
cm,"https://adwords.google.com/api/adwords/cm/v201101",BiddableAdGroupCriterion,stats
cm,"https://adwords.google.com/api/adwords/cm/v201101",BiddableAdGroupCriterionExperimentData,experimentId
cm,"https://adwords.google.com/api/adwords/cm/v201101",BiddableAdGroupCriterionExperimentData,experimentDeltaStatus
cm,"https://adwords.google.com/api/adwords/cm/v201101",BiddableAdGroupCriterionExperimentData,experimentDataStatus
cm,"https://adwords.google.com/api/adwords/cm/v201101",BiddableAdGroupCriterionExperimentData,experimentBidMultiplier
cm,"https://adwords.google.com/api/adwords/cm/v201101",BudgetOptimizerAdGroupCriterionBids,proxyBid
cm,"https://adwords.google.com/api/adwords/cm/v201101",BudgetOptimizerAdGroupCriterionBids,enhancedCpcEnabled
cm,"https://adwords.google.com/api/adwords/cm/v201101",Criterion,id
cm,"https://adwords.google.com/api/adwords/cm/v201101",Criterion,Criterion_Type
cm,"https://adwords.google.com/api/adwords/cm/v201101",EntityAccessDenied,reason
cm,"https://adwords.google.com/api/adwords/cm/v201101",Keyword,text
cm,"https://adwords.google.com/api/adwords/cm/v201101",Keyword,matchType
cm,"https://adwords.google.com/api/adwords/cm/v201101",ManualCPCAdGroupCriterionBids,maxCpc
cm,"https://adwords.google.com/api/adwords/cm/v201101",ManualCPCAdGroupCriterionBids,bidSource
cm,"https://adwords.google.com/api/adwords/cm/v201101",ManualCPCAdGroupCriterionBids,positionPreferenceBids
cm,"https://adwords.google.com/api/adwords/cm/v201101",ManualCPCAdGroupCriterionBids,enhancedCpcEnabled
cm,"https://adwords.google.com/api/adwords/cm/v201101",ManualCPCAdGroupCriterionExperimentBidMultiplier,maxCpcMultiplier
cm,"https://adwords.google.com/api/adwords/cm/v201101",ManualCPCAdGroupCriterionExperimentBidMultiplier,multiplierSource
cm,"https://adwords.google.com/api/adwords/cm/v201101",ManualCPMAdGroupCriterionBids,maxCpm
cm,"https://adwords.google.com/api/adwords/cm/v201101",ManualCPMAdGroupCriterionBids,bidSource
cm,"https://adwords.google.com/api/adwords/cm/v201101",PercentCPAAdGroupCriterionBids,percentCpa
cm,"https://adwords.google.com/api/adwords/cm/v201101",PercentCPAAdGroupCriterionBids,source
cm,"https://adwords.google.com/api/adwords/cm/v201101",Placement,url
cm,"https://adwords.google.com/api/adwords/cm/v201101",PositionPreferenceAdGroupCriterionBids,proxyMaxCpc
cm,"https://adwords.google.com/api/adwords/cm/v201101",PositionPreferenceAdGroupCriterionBids,preferredPosition
cm,"https://adwords.google.com/api/adwords/cm/v201101",PositionPreferenceAdGroupCriterionBids,bottomPosition
cm,"https://adwords.google.com/api/adwords/cm/v201101",Product,conditions
cm,"https://adwords.google.com/api/adwords/cm/v201101",Product,text
cm,"https://adwords.google.com/api/adwords/cm/v201101",QualityInfo,isKeywordAdRelevanceAcceptable
cm,"https://adwords.google.com/api/adwords/cm/v201101",QualityInfo,isLandingPageQualityAcceptable
cm,"https://adwords.google.com/api/adwords/cm/v201101",QualityInfo,isLandingPageLatencyAcceptable
cm,"https://adwords.google.com/api/adwords/cm/v201101",QualityInfo,qualityScore
cm,"https://adwords.google.com/api/adwords/cm/v201101",CriterionUserInterest,userInterestId
cm,"https://adwords.google.com/api/adwords/cm/v201101",CriterionUserInterest,userInterestName
cm,"https://adwords.google.com/api/adwords/cm/v201101",CriterionUserList,userListId
cm,"https://adwords.google.com/api/adwords/cm/v201101",CriterionUserList,userListName
cm,"https://adwords.google.com/api/adwords/cm/v201101",CriterionUserList,userListMembershipStatus
cm,"https://adwords.google.com/api/adwords/cm/v201101",Vertical,path
cm,"https://adwords.google.com/api/adwords/cm/v201101",PercentCPAAdGroupBids,percentCpa
cm,"https://adwords.google.com/api/adwords/cm/v201101",BudgetOptimizerAdGroupBids,proxyKeywordMaxCpc
cm,"https://adwords.google.com/api/adwords/cm/v201101",BudgetOptimizerAdGroupBids,proxySiteMaxCpc
cm,"https://adwords.google.com/api/adwords/cm/v201101",BudgetOptimizerAdGroupBids,enhancedCpcEnabled
cm,"https://adwords.google.com/api/adwords/cm/v201101",ConversionOptimizerAdGroupBids,targetCpa
cm,"https://adwords.google.com/api/adwords/cm/v201101",ConversionOptimizerAdGroupBids,conversionOptimizerBidType
cm,"https://adwords.google.com/api/adwords/cm/v201101",ConversionOptimizerAdGroupBids,deduplicationMode
cm,"https://adwords.google.com/api/adwords/cm/v201101",ManualCPCAdGroupBids,keywordMaxCpc
cm,"https://adwords.google.com/api/adwords/cm/v201101",ManualCPCAdGroupBids,keywordContentMaxCpc
cm,"https://adwords.google.com/api/adwords/cm/v201101",ManualCPCAdGroupBids,siteMaxCpc
cm,"https://adwords.google.com/api/adwords/cm/v201101",ManualCPCAdGroupBids,enhancedCpcEnabled
cm,"https://adwords.google.com/api/adwords/cm/v201101",ManualCPCAdGroupExperimentBidMultipliers,maxCpcMultiplier
cm,"https://adwords.google.com/api/adwords/cm/v201101",ManualCPCAdGroupExperimentBidMultipliers,maxContentCpcMultiplier
cm,"https://adwords.google.com/api/adwords/cm/v201101",ManualCPMAdGroupBids,maxCpm
cm,"https://adwords.google.com/api/adwords/cm/v201101",ManualCPMAdGroupExperimentBidMultipliers,maxCpmMultiplier
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroupBids,AdGroupBids_Type
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroupExperimentBidMultipliers,AdGroupExperimentBidMultipliers_Type
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroupExperimentData,experimentId
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroupExperimentData,experimentDeltaStatus
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroupExperimentData,experimentDataStatus
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroupExperimentData,experimentBidMultipliers
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroup,id
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroup,campaignId
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroup,campaignName
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroup,name
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroup,status
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroup,bids
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroup,experimentData
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroup,stats
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroupPage,entries
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdGroupReturnValue,value
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdParam,adGroupId
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdParam,criterionId
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdParam,insertionText
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdParam,paramIndex
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdParamPage,entries
cm,"https://adwords.google.com/api/adwords/cm/v201101",AdParamPage,totalNumEntries
cm,"https://adwords.google.com/api/adwords/cm/v201101",CampaignAdExtension,campaignId
cm,"https://adwords.google.com/api/adwords/cm/v201101",CampaignAdExtension,adExtension
cm,"https://adwords.google.com/api/adwords/cm/v201101",CampaignAdExtension,status
cm,"https://adwords.google.com/api/adwords/cm/v201101",CampaignAdExtension,approvalStatus
cm,"https://adwords.google.com/api/adwords/cm/v201101",CampaignAdExtension,stats
